City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
588,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,23.02,few clouds
589,Aldan,RU,58.6031,125.3894,-20.04,94,96,2.66,overcast clouds
590,Ozernovskiy,RU,51.5,156.5167,37.35,86,100,1.79,overcast clouds
591,Kallidaikurichchi,IN,8.6667,77.4833,79.9,83,77,6.24,broken clouds
592,Rensvik,NO,63.1,7.8167,34.07,93,75,4.61,light rain
593,Lobva,RU,59.1854,60.5185,25.66,97,100,4.32,light snow
594,Dezhou,CN,37.4486,116.2925,34.03,35,0,16.62,clear sky
595,Great Yarmouth,GB,52.6083,1.7305,44.85,66,32,22.79,scattered clouds
596,Uarini,BR,-2.99,-65.1083,84.13,76,97,3.0,overcast clouds
597,Cedar Falls,US,42.5278,-92.4455,52.12,55,1,7.0,clear sky
598,Cascais,PT,38.6979,-9.4215,62.47,75,20,8.01,few clouds
599,Troitskoye,RU,52.9821,84.6757,16.29,86,100,4.14,overcast clouds
600,Black River,JM,18.0264,-77.8487,83.98,56,100,3.91,overcast clouds
601,Walvis Bay,NA,-22.9575,14.5053,63.09,75,2,19.3,clear sky
602,Hearst,CA,49.6835,-83.6665,34.05,81,100,10.85,overcast clouds
603,Quillota,CL,-32.8833,-71.2667,59.59,40,2,8.66,clear sky
604,Sosva,RU,59.1766,61.8558,25.81,96,100,6.55,light snow
605,Lolodorf,CM,3.2333,10.7333,73.27,95,99,1.86,light rain
606,Sibolga,ID,1.7427,98.7792,76.44,88,100,3.24,light rain
607,Nakatsu,JP,33.5981,131.1883,58.17,88,100,2.93,light rain
608,Minsk,BY,53.9,27.5667,44.35,77,100,20.29,overcast clouds
609,Sault Sainte Marie,CA,46.5168,-84.3333,39.88,80,90,5.75,overcast clouds
610,Miles City,US,46.4083,-105.8406,32.5,74,1,6.91,clear sky
611,Middle Island,US,40.8843,-72.9373,55.08,61,90,1.99,overcast clouds
612,Aquiraz,BR,-3.9014,-38.3911,87.89,55,62,10.74,broken clouds
613,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,100.31,28,56,5.14,broken clouds
614,Santiago De Cao,PE,-7.9589,-79.2392,66.33,77,75,10.36,broken clouds
615,Lima,PE,-12.0432,-77.0282,70.9,75,90,6.91,overcast clouds
616,Carroll,US,39.5501,-77.0164,52.2,51,40,1.01,scattered clouds
617,Hun,LY,29.1268,15.9477,65.28,44,59,6.06,broken clouds
618,Marsa Matruh,EG,31.3525,27.2453,65.66,69,85,11.21,overcast clouds
619,Urayasu,JP,35.6706,139.8886,56.16,91,75,12.66,light intensity shower rain
620,Nantucket,US,41.2835,-70.0995,53.74,82,100,15.88,overcast clouds
621,Gondanglegi,ID,-7.7479,112.0132,77.56,87,100,1.52,overcast clouds
622,Mwanza,TZ,-2.5167,32.9,76.19,62,94,9.31,overcast clouds
623,Sumenep,ID,-7.0167,113.8667,80.85,80,99,1.68,overcast clouds
